Author;Author-short;Title;Text;Words;Label;Gender;;;
Jan Kochanowksi;J. Kochanowki;Pieśń III;"Nie wierz Fortunie, co siedzisz wysoko; Miej na poślednie koła pilne oko: Bo to niestała pani z przyrodzenia, Często więc rada sprawy swe odmienia. Nie dufaj w złoto i w żadne pokłady, Każdej godziny obawiaj sie zdrady: Fortuna co da, to zasię wziąć może, A u niej żadna dawność nie pomoże. A ci, co z tobą teraz przestawają, Twej sie fortunie, nie tobie kłaniają; Skoro ta zniknie, tył każdy podawa, Jako cień, kiedy słońca mu nie zstawa. Lecz jako sama oczy zasłoniła, Tak swym pochlebstwem ludzi pobłaźniła, Że drugi wysszej nosa gębę nosi, A wszystki insze oczyma przenosi. Ty pomni, że twój skarb u Szczęścia w mocy, A tak sie staraj o takiej pomocy, Aby wżdy z tobą twego co zostało, Jesli zaś będzie Szczęście swego chciało. Cnota skarb wieczny, cnota klenot drogi; Tegoć nie wydrze nieprzyjaciel srogi, Nie spali ogień, nie zabierze woda; Nad wszystkim inszym panuje Przygoda.";147;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń IV;"W twardej kamiennej wieży i za troistemi Drzwiami siedząc Danae nieprzełomionemi, Pod strażą nieuspionych spartańskich złajników, Mogła wiecznie nie uznać nocnych wszeteczników, By była z Akryzego Wenus nie szydziła, Stróża zamknionej panny; bo ta obaczyła, Że Jowisz, w upominku złotym utajony, Miał mieć bezpieczny przystęp i gmach otworzony. Złoto śrzodkiem janczarów zbrojnych pójdzie snadnie, A przez twardą opokę gwałtowniej przepadnie  Niżli raz piorunowy: upadł nieszczęśliwy Dom proroka greckiego, prze zysk niecnotliwy Z gruntu wykorzeniony; przebił bramy twarde Zacnych miast Macedończyk i podkopał harde Tyranny datkiem; datkom hetmani hołdują, Którzy daleko świetnym nawom rozkazują. Wielkich pieniędzy wielka troska naszladuje; A im człowiek w pokładzie swoim więcej czuje, Tym jeszcze więcej pragnie; słusznie moje oko I nigdy przedtym, i dziś nie zmierza wysoko. Im sobie człowiek więcej pomiernyujmuje, Tym mu więcej od Boga z łaski przystępuje; Nic nie mając, z tymi, co nic nie chcą, przestaję, A buntów dobrowolnie bogatych sie kaję. Pan znaczniejszy, gdy państwemwzgardzę, niżbych wszytki Żóławskie urodzaje i gdańskie pożytki W jednym szpichlerzu zamknął, a sam, siedząc w cieniu, Nie mógł sie chleba najeść, nędznik w dobrym mieniu. Zdrój przeźroczystej wody, lasu średnia miara I zasiewku mojego niepochybna wiara Rządźcy płodnej Afryki, szerokowładnemu, Nie da sie znać, że w szczęściu przerównana jemu. Acz mi miodu podolskie pasieki nie dają Ani w mym lochu wina seremskiestawają, Ani bogate stada owiec niezliczonych Strzygą odrosłą trawę po górach zielonych; Przedsię nazbyt ubóstwa nie znać w domu moim, A by mi więcej trzeba, ufam w Bogu swoim; Ale gdy niepotrzebne chciwości odprawię, Lepiej daleko płatu sobie tym poprawię Niżbych";250;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń V;"Wieczna sromota i nienagrodzona Szkoda, Polaku: ziemia spustoszona Podolska leży, a pohaniec sprosny, Nad Niestrem siedząc, dzieli łup żałosny. Niewierny Turczyn psy zapuścił swoje, Którzy zagnali piękne łanie twoje Z dziećmi pospołu a nie masz nadzieje, By kiedy miały nawiedzić swe knieje. Jedny za Dunaj Turkom zaprzedano, Drugie do hordy dalekiej zagnano; Córy szlacheckie (żal sie mocny Boże!) Psom bisurmańskim brzydkie ścielą łoże. Zbójce, niestety, zbójce nas wojują, Którzy ani miast, ani wsi budują; Pod kotarzami tylko w polach siedzą, A nas nierządne, ach, nierządne, jedzą! Tak odbieżałe stado więc drapają Rozbójce wilcy, gdy po woli mają, Że ani pasterz nad owcami chodzi, Ani ostrożnych psów za sobą wodzi. Jakiego serca Turkowi dodamy, Jesli tak lekkim ludziom nie zdołamy? Ledwieć nam i tak króla nie podawa; Kto sie przypatrzy, mała nie dostawa. Zetrzy sen z oczu a czuj w czas o sobie, Cny Lachu! Kto wie, jemu czyli tobie Szczęście chce służyć? A dokąd wyroku Mars nie uczyni, nie ustępuj kroku. A teraz k temu obróć myśli swoje Jakobyć szkody nieprzyjaciel twoje Krwią swą nagrodził i omył tę zmazę, Której dziś niesiesz prze swej ziemie skazę. Wsiadamy? Czy nas półmiski trzymają? Biedne półmiski, czego te czekają? To pan, i jadać na śrebrze godniejszy, Komu żelazny Mars będzie chętniejszy. Skujmy talerze na talery, skujmy, A żołnierzowi pieniądze gotujmy. Inszy to darmo po drogach miotali, A my nie damy, bychmy w cale trwali? Dajmy, a naprzód dajmy! Sami siebie Ku gwałtowniejszej chowajmy potrzebie. Tarczej niż piersi pierwej nastawiają, Pozno puklerza przebici macają. Cieszy mię ten rym: «Polak mądr po szkodzie»; Lecz jesli prawda i z tego nas";250;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń VI;Królewno lutnie złotej i rymów pociesznych, Ochłodo myśli tesznych, Ty sama powiedz a kres naznacz, póki mamy Płakać, gdy przyjaciela miłego stradamy. Łacno cieszyć chorego, gdysmy zdrowi sami, Lecz kiedy toż nad nami Niefortuna pokaże, tam więc człowiek czuje, Że co drugim chciał radzić, sam sie nie ratuje. Godno płaczu nieszczęście i twoja przygoda, O zacny wojewoda, Boś pozbył towarzysza i cnotliwej żony, Której dobroć, której wstyd jest niewysłowiony. Ale byś dobrze, wziąwszy lutnią Orfeowę, Wstąpił w łódź Charonowę I nawiedził podziemne, niewesołe kraje, Gdzie słońce swych promieni nigdy nie podaje, Nie zyszczesz dusze, która dotkła raz napoju Niepamiętnego zdroju. Przeto cierpliwość sama nalepsza w tej mierze, Gdzie za raz i ratunek upad z sobą bierze.;109;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń IX;"Nie porzucaj nadzieje, Jakoć sie kolwiek dzieje: Bo nie już słońce ostatnie zachodzi, A po złej chwili piękny dzień przychodzi. Patrzaj teraz na lasy, Jako prze zimne czasy Wszystkę swą krasę drzewa utraciły, A śniegi pola wysoko przykryły. Po chwili wiosna przyjdzie, Ten śnieg z nienagła zéjdzie A ziemia, skoro słońce jej zagrzeje, W rozliczne barwy znowu sie odzieje. Nic wiecznego na świecie: Radość sie z troską plecie, A kiedy jedna weźmie moc nawiętszą, W ten czas masz ujźrzeć odmianę naprędszą. Ale człowiek zhardzieje, Gdy mu sie dobrze dzieje; Więc też, kiedy go Fortuna omyli, Wnet głowę zwiesi i powagę zmyli. Lecz na szczęście wszelakie Serce ma być jednakie; Bo z nas Fortuna w żywe oczy szydzi, To da, to weźmie, jako sie jej widzi. Ty nie miej za stracone, Co może być wrócone: Siła Bóg może wywrócić w godzinie; A kto mu kolwiek ufa, nie zaginie.";143;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń XXIV;"Niezwykłym i nie leda piórem opatrzony Polecę precz, poeta, ze dwojej złożony Natury: ani ja już przebywać na ziemi Więcej będę, a więtszy nad zazdrość, ludnemi Miasty wzgardzę. On, w równym szcześciu urodzony, On ja, jako mię zowiesz, wielce ulubiony Mój Myszkowski, nie umrę ani mię czarnemi Styks niewesoła zamknie odnogami swemi. Już mi skóra chropawa padnie na goleni, Już mi w ptaka białego wierzch sie głowy mieni; Po palcach wszędy nowe piórka sie puszczają, A z ramion sążeniste skrzydła wyrastają. Terazże nad Ikara prędszy przeważnego  Puste brzegi nawiedzę Bosfora hucznego  I Syrty Cyrenejskie, Muzom poświęcony Ptak, i pola zabiegłe za zimne Tryjony. O mnie Moskwa i będą wiedzieć Tatarowie, I róznego mieszkańcy świata Anglikowie, Mnie Niemiec i waleczny Hiszpan, mnie poznają, Którzy głęboki strumień Tybrowy pijają. Niech przy próznym pogrzebie żadne narzekanie, Żaden lament nie będzie ani uskarżanie: Świec i dzwonów zaniechaj, i mar drogo słanych, I głosem żałobliwym żołtarzów śpiewanych.  ";147;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń XXIII;"Nie zawżdy, piękna Zofija, Róża kwitnie i lelija; Nie zawżdy człek będzie młody Ani tej, co dziś, urody. Czas ucieka jak woda, A przy nim leci Pogoda  Zebrawszy włosy na czoło: Stąd jej łapaj, bo w tył goło. Zima bywszy zejdzie snadnie; Nam, gdy śniegiem włos przypadnie, Już wiosna, już lato minie, A ten z głowy mróz nie zginie.";59;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń XXII;Proszę, jesli sie z tobą co śpiewało, Co by i ten rok, i dalej trwać miało, Powiedz słowieński rym, o wielostrona  Lutni złocona, Mytyleńskiego mieszkańca przed laty Zabawo, który, choć w boju zębaty, Przedsię śrzód mieczów lub też nawę w biegu Przybił do brzegu. Muzy parnaskie i naleźcę wina, I Afrodytę, i z nią jejże syna  I Lyka z czarnym włosem i czarnema Śpiewał oczema, O czci Febowa i stołów złoconych Kraso niebieskich, o myśli strapionych Wdzięczna ochłodo, i mnie sprzyjaźliwąm  Bądź, gdy cię wzywąm!;82;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń XXI;"Srogie łańcuchy na swym sercu czuję; Lecz to szczęściem szacuję, Żem jest tak pięknym sidłem ułowiony; Wesoło żywę, w trosce położony, A w tym swoim wzdychaniu Mam rozkosz przeciw ludzkiemu mniemaniu, Oczy dziwnej piękności, W których sie wszytki najdują wdzięczności. Dzień to błogosławiony, Kiedym ja waszym sidłem upleciony.";46;0;0;;;
Jan Kochanowksi;J. Kochanowki;Pieśń XX;"Jaką, rozumiesz, zazdrość zjednałeś sobie, Zacny biskupie, w mojej małej osobie, Żeś mię z domu wyciągnął w te dalsze strony Od małych dziatek i od teskliwej żony? Nie myśli-ć ona o tym, że ja przy tobie Głowy nie ufrasuję by namniej sobie; Że w twym pałacu mieszkam, że przy twym boku Siadam; koń mój, sługa mój na twym obroku. Rychlej, niesposobnego będąc świadom Zdrowia mego, frasuje swe serce doma, Żebych jakiej choroby nagłej nie użył, Nie mając, kto by mi w tym jej sercemsłużył. Ciężar także domowy, społeczny nama, Teraz w mej niebytności musi nieść sama, Strzegąc w domu porządku, warującszkody, Dziatek lichych pilnując, zakładów zgody. Któż wie, jesli i tego przed sie nie bierze  (Acz wątpić nie potrzeba o mojej wierze), Że na świecie rodzą sie takowe zioła, Których smak pamięć domu wygładza zgoła; Że taka jest muzyka i takie strony, Których człowiek słuchając, już ani żony, Ani dziatek nawiedzi, ale w niewoli Pod pany sromotnymi wiecznie trwać woli. To i czego jest więcej, zawżdy w miłości Serca trapi, chocia też zstawa ufności; A ty nie bądź przyczyną, biskupie drogi, Niczyjej, lubo słusznej, lub płonejtrwogi. Ale złącz, jakoś rozwiódł, bo acz oboje Twój urząd niesie, wszakże wyroki twoje Na ludzkiej chęci wiszą: i ja, i ona Nie pragniewa do śmierci być rozdzielona.";208;0;0;;;
